Columnas 2019,Renombre_2019,Columnas_2022,Renombre_2022
ap01_01_Abril,ap01_Abril,ap02_2001,ap02_2003
ap01_01_Agosto,ap01_Agosto,ap02_2002,ap02_2004
ap01_01_Blanco,ap01_Blanco,ap02_2003,ap02_2005
ap01_01_Diciembre,ap01_Diciembre,ap02_2004,ap02_2006
ap01_01_Enero,ap01_Enero,ap02_2005,ap02_2007
ap01_01_Febrero,ap01_Febrero,ap02_2006,ap02_2008
ap01_01_Julio,ap01_Julio,ap15_Blanco,ap19_Blanco
ap01_01_Junio,ap01_Junio,ap15_De_1_a_5_libros,ap19_De_1_a_5_libros
ap01_01_Marzo,ap01_Marzo,ap15_De_21_a_50_libros,ap19_De_21_a_50_libros
ap01_01_Mayo,ap01_Mayo,ap15_De_51_a_100_libros,ap19_De_51_a_100_libros
ap01_01_Multimarca,ap01_Multimarca,ap15_De_6_a_20_libros,ap19_De_6_a_20_libros
ap01_01_No_disponible,ap01_No_disponible,ap15_Más_de_100_libros,ap19_Más_de_100_libros
ap01_01_Noviembre,ap01_Noviembre,ap15_Multimarca,ap19_Multimarca
ap01_01_Octubre,ap01_Octubre,ap15_No_disponible,ap19_No_disponible
ap01_01_Septiembre,ap01_Septiembre,ap15_No_tengo_libros_en_formato_papel,ap19_No_hay_libros_en_formato_papel
ap01_02_1998,ap02_2003,ap16a_Blanco,Nivel_Ed_Madre_Blanco
ap01_02_1999,ap02_2004,ap16a_Multimarca,Nivel_Ed_Madre_Multimarca
ap01_02_2000,ap02_2005,ap16a_No_disponible,Nivel_Ed_Madre_No_disponible
ap01_02_2001,ap02_2006,ap16a_No_fue_a_la_escuela,Nivel_Ed_Madre_No_fue_a_la_escuela
ap01_02_2002,ap02_2007,ap16a_Primario,Nivel_Ed_Madre_Primaria_completo
ap01_02_2003,ap02_2008,ap16a_Secundario,Nivel_Ed_Madre_Secundaria_completo
ap01_02_Blanco,ap02_Blanco,ap16a_Terciario_universitario_o_posgrado,Nivel_Ed_Madre_Terciario_universitario_posgrado_completo
ap01_02_Multimarca,ap02_Multimarca,ap16b_Blanco,Nivel_Ed_Padre_Blanco
ap01_02_No_Corresponde,ap02_No_Corresponde,ap16b_Multimarca,Nivel_Ed_Padre_Multimarca
ap01_02_No_disponible,ap02_No_disponible,ap16b_No_disponible,Nivel_Ed_Padre_No_disponible
ap02_Blanco,ap03_Blanco,ap16b_No_fue_a_la_escuela,Nivel_Ed_Padre_No_fue_a_la_escuela
ap02_Mujer,ap03_Femenino,ap16b_Primario,Nivel_Ed_Padre_Primaria_completo
ap02_Multimarca,ap03_Multimarca,ap16b_Secundario,Nivel_Ed_Padre_Secundaria_completo
ap02_No_disponible,ap03_No_disponible,ap16b_Terciario_universitario_o_posgrado,Nivel_Ed_Padre_Terciario_universitario_posgrado_completo
ap02_Varón,ap03_Masculino,ap16c_Blanco,Nivel_Ed_Persona_Resp_Blanco
ap03_Argentina,ap04_Argentina,ap16c_Multimarca,Nivel_Ed_Persona_Resp_Multimarca
ap03_Blanco,ap04_Blanco,ap16c_No_disponible,Nivel_Ed_Persona_Resp_No_disponible
ap03_Bolivia,ap04_Bolivia,ap16c_No_fue_a_la_escuela,Nivel_Ed_Persona_Resp_No_fue_a_la_escuela
ap03_Brasil,ap04_Brasil,ap16c_Primario,Nivel_Ed_Persona_Resp_Primaria_completo
ap03_Chile,ap04_Chile,ap16c_Secundario,Nivel_Ed_Persona_Resp_Secundaria_completo
ap03_Colombia,ap04_Colombia,ap16c_Terciario_universitario_o_posgrado,Nivel_Ed_Persona_Resp_Terciario_universitario_posgrado_completo
ap03_Multimarca,ap04_Multimarca,ap22_Blanco,ap31_Blanco
ap03_México,ap04_México,ap22_Entre_2_y_4_horas,ap31_Entre_2_y_4_horas
ap03_No_disponible,ap04_No_disponible,ap22_Entre_5_y_7_horas,ap31_Entre_5_y_7_horas
ap03_Otro_país_de_América,ap04_Otro_país_de_América,ap22_Entre_8_y_10_horas,ap31_Entre_8_y_10_horas
ap03_Paraguay,ap04_Paraguay,ap22_Hasta_2_horas,ap31_Hasta_2_horas
ap03_País_de_Asia,ap04_En_un_país_de_Asia,ap22_Más_de_10_horas,ap31_Más_de_10_horas
ap03_País_de_Europa,ap04_En_un_país_de_Europa,ap22_Multimarca,ap31_Multimarca
ap03_País_de_Oceanía,ap04_En_un_país_de_Oceanía,ap22_No_disponible,ap31_No_disponible
ap03_País_de_África,ap04_En_un_país_de_África,ap22_No_estudié_ni_realicé_las_tareas_fuera_del_horario_esc,ap31_No_estudié_ni_hice_tarea_fuera_del_horario_escolar
ap03_Perú,ap04_Perú,ap23_Blanco,ap44_Blanco
ap03_Uruguay,ap04_Uruguay,ap23_Multimarca,ap44_Multimarca
ap03_Venezuela,ap04_Venezuela,ap23_No_disponible,ap44_No_disponible
ap04_Argentina,ap05a_En_Argentina,ap23_No_me_apoya_ni_me_ayuda_a_tomar_decisiones,ap44_No_me_apoya_ni_me_ayuda_a_tomar_decisiones
ap04_Blanco,ap05a_Blanco,ap23_No_me_apoya_pero_me_ayuda_a_tomar_decisiones,ap44_No_me_apoya_pero_me_ayuda_a_tomar_decisiones
ap04_Multimarca,ap05a_Multimarca,ap23_Sí_me_apoya_pero_no_me_ayuda_a_tomar_decisiones,ap44_Sí_me_apoya_pero_no_me_ayuda_a_tomar_decisiones
ap04_No_disponible,ap05a_No_disponible,ap23_Sí_me_apoya_y_me_ayuda_a_tomar_decisiones,ap44_Sí_me_apoya_y_me_ayuda_a_tomar_decisiones
ap05_Argentina,ap05b_En_Argentina,,
ap05_Blanco,ap05b_Blanco,,
ap05_Multimarca,ap05b_Multimarca,,
ap05_No_disponible,ap05b_No_disponible,,
ap15_Blanco,ap19_Blanco,,
ap15_De_1_a_50_libros,ap19_De_1_a_5_libros,,
ap15_De_51_a_100_libros,ap19_De_51_a_100_libros,,
ap15_Multimarca,ap19_Multimarca,,
ap15_Más_de_100_libros,ap19_Más_de_100_libros,,
ap15_No_disponible,ap19_No_disponible,,
ap15_No_hay_libros,ap19_No_hay_libros_en_formato_papel,,
ap16_Blanco,Nivel_Ed_Madre_Blanco,,
ap16_Educación_superior_universitaria,Nivel_Ed_Madre_Terciario_universitario_posgrado_incompleto,,
ap16_Multimarca,Nivel_Ed_Madre_Multimarca,,
ap16_No_disponible,Nivel_Ed_Madre_No_disponible,,
ap16_Posgrado,Nivel_Ed_Madre_Terciario_universitario_posgrado_completo,,
ap16_Primaria_completa,Nivel_Ed_Madre_Primaria_completo,,
ap16_Primaria_incompleta,Nivel_Ed_Madre_Primaria_incompleto,,
ap16_Secundaria_completa,Nivel_Ed_Madre_Secundaria_completo,,
ap16_Secundaria_incompleta,Nivel_Ed_Madre_Secundaria_incompleto,,
ap17_Blanco,Nivel_Ed_Padre_Blanco,,
ap17_Educación_superior_universitaria,Nivel_Ed_Padre_Terciario_universitario_posgrado_incompleto,,
ap17_Multimarca,Nivel_Ed_Padre_Multimarca,,
ap17_No_disponible,Nivel_Ed_Padre_No_disponible,,
ap17_Posgrado,Nivel_Ed_Padre_Terciario_universitario_posgrado_completo,,
ap17_Primaria_completa,Nivel_Ed_Padre_Primaria_completo,,
ap17_Primaria_incompleta,Nivel_Ed_Padre_Primaria_incompleto,,
ap17_Secundaria_completa,Nivel_Ed_Padre_Secundaria_completo,,
ap17_Secundaria_incompleta,Nivel_Ed_Padre_Secundaria_incompleto,,
